id;english;dutch
4BL3Dn1P;Accounting/Finance;Accounting / Financieel
NEZQ8j9J;Administrative/Clerical;Administratief / Secretarieel
9enVbnWM;Building Construction/Skilled Trades;Bouw
4aL7mj61;Business/Strategic Management;Management / Business
wXL9Oj4K;Creative/Design;Creatief / Design
XrnYwZpB;Customer Support/Client Care;Klantenservice
GkLe1Lp5;Editorial/Writing;Redactie / Journalistiek
0rnawZ8b;Engineering;Technisch
xKLkbZW1;Food Services/Hospitality;Horeca
45Z6QjOB;Human Resources;Personeelszaken / HRM
vrLORZ0E;Installation/Maintenance/Repair;Beheer- en onderhoud gebouwen
ronMxLVz;IT/Software Development;IT / Software Development
BXnGVL2o;Legal;Juridisch
0zjrvjYW;Logistics/Transportation;Logistiek / Transport / Inkoop
vRnpPny1;Marketing/Product;Marketing / Product
eDjXOn7G;Medical/Health;Gezondheidszorg
pRnmrjgl;Other;Overige
dpjdEZ3R;Production/Operations;Productie / Fabricage
aEnoaZW7;Project/Program Management;Projectmanagement
O0jR8LVX;Quality Assurance/Safety;Kwaliteits -garantie/veiligheid
a7jK4Zxb;R&D/Science;Onderzoek (R&D) / Wetenschap
J0nz0ZVQ;Sales/Business Development;Sales / Verkoop
9NZqYZ3Q;Security/Protective Services;Veiligheid / Beveiliging
OWZ8MLN2;Training/Instruction;Onderwijs / Training